,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
0,0,27,A,0,0,0,0,0,300,10,0.15303176641464233,0.15303179621696472,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,43.63926601409912,27_A_8,27_A_0_0_0_0_0_300_10,28,18,1,0.8961892406120547,Network 1,Min
1,1,27,A,0,0,0,0,0,300,10,0.1545802801847458,0.15458030998706818,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,46.50979518890381,27_A_32,27_A_0_0_0_0_0_300_10,26,18,1,0.8961892406120547,Network 1,Min
2,2,27,A,0,0,0,0,0,300,10,0.1548181027173996,0.15481813251972198,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,100.07442498207092,27_A_64,27_A_0_0_0_0_0_300_10,37,18,1,0.8961892406120547,Network 1,Min
0,0,27,A,0,0,0,0,0,300,10,0.15303176641464233,0.15303179621696472,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,43.63926601409912,27_A_8,27_A_0_0_0_0_0_300_10,28,18,1,0.8961892406120547,Network 1,Max
1,1,27,A,0,0,0,0,0,300,10,0.1545802801847458,0.15458030998706818,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,46.50979518890381,27_A_32,27_A_0_0_0_0_0_300_10,26,18,1,0.8961892406120547,Network 1,Max
2,2,27,A,0,0,0,0,0,300,10,0.1548181027173996,0.15481813251972198,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,100.07442498207092,27_A_64,27_A_0_0_0_0_0_300_10,37,18,1,0.8961892406120547,Network 1,Max
0,0,27,G,0,0,0,0,0,300,10,0.1542123258113861,0.15421229600906372,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,25.3368616104126,27_G_8,27_G_0_0_0_0_0_300_10,17,14,1,0.8961892406120547,Network 2,Min
1,1,27,G,0,0,0,0,0,300,10,0.15488752722740173,0.15488751232624054,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,48.459560871124275,27_G_32,27_G_0_0_0_0_0_300_10,27,14,1,0.8961892406120547,Network 2,Min
2,2,27,G,0,0,0,0,0,300,10,0.15225858986377716,0.15225858986377716,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,60.954962253570564,27_G_64,27_G_0_0_0_0_0_300_10,22,14,1,0.8961892406120547,Network 2,Min
0,0,27,G,0,0,0,0,0,300,10,0.1542123258113861,0.15421229600906372,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,25.3368616104126,27_G_8,27_G_0_0_0_0_0_300_10,17,14,1,0.8961892406120547,Network 2,Max
1,1,27,G,0,0,0,0,0,300,10,0.15488752722740173,0.15488751232624054,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,48.459560871124275,27_G_32,27_G_0_0_0_0_0_300_10,27,14,1,0.8961892406120547,Network 2,Max
2,2,27,G,0,0,0,0,0,300,10,0.15225858986377716,0.15225858986377716,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,60.954962253570564,27_G_64,27_G_0_0_0_0_0_300_10,22,14,1,0.8961892406120547,Network 2,Max
0,0,27,T,0,0,0,0,0,300,10,0.16011470556259155,0.16011472046375275,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,30.21068596839905,27_T_8,27_T_0_0_0_0_0_300_10,21,14,1,0.8961892406120547,Network 3,Min
1,1,27,T,0,0,0,0,0,300,10,0.15344439446926114,0.15344437956809998,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,19.727622747421265,27_T_32,27_T_0_0_0_0_0_300_10,11,14,1,0.8961892406120547,Network 3,Min
2,2,27,T,0,0,0,0,0,300,10,0.15367256104946134,0.15367259085178375,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,35.59231424331665,27_T_64,27_T_0_0_0_0_0_300_10,13,14,1,0.8961892406120547,Network 3,Min
0,0,27,T,0,0,0,0,0,300,10,0.16011470556259155,0.16011472046375275,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,30.21068596839905,27_T_8,27_T_0_0_0_0_0_300_10,21,14,1,0.8961892406120547,Network 3,Max
1,1,27,T,0,0,0,0,0,300,10,0.15344439446926114,0.15344437956809998,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,19.727622747421265,27_T_32,27_T_0_0_0_0_0_300_10,11,14,1,0.8961892406120547,Network 3,Max
2,2,27,T,0,0,0,0,0,300,10,0.15367256104946134,0.15367259085178375,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,35.59231424331665,27_T_64,27_T_0_0_0_0_0_300_10,13,14,1,0.8961892406120547,Network 3,Max
0,0,27,AD,0,0,0,0,0,300,10,0.15281285345554352,0.1528128683567047,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,27.352745294570926,27_AD_8,27_AD_0_0_0_0_0_300_10,19,13,1,0.8961892406120547,Network 4,Min
1,1,27,AD,0,0,0,0,0,300,10,0.15356193482875824,0.15356191992759705,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,19.80117154121399,27_AD_32,27_AD_0_0_0_0_0_300_10,11,13,1,0.8961892406120547,Network 4,Min
2,2,27,AD,0,0,0,0,0,300,10,0.14934144914150238,0.14934141933918,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,46.0292911529541,27_AD_64,27_AD_0_0_0_0_0_300_10,17,13,1,0.8961892406120547,Network 4,Min
0,0,27,AD,0,0,0,0,0,300,10,0.15281285345554352,0.1528128683567047,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,27.352745294570926,27_AD_8,27_AD_0_0_0_0_0_300_10,19,13,1,0.8961892406120547,Network 4,Max
1,1,27,AD,0,0,0,0,0,300,10,0.15356193482875824,0.15356191992759705,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,19.80117154121399,27_AD_32,27_AD_0_0_0_0_0_300_10,11,13,1,0.8961892406120547,Network 4,Max
2,2,27,AD,0,0,0,0,0,300,10,0.14934144914150238,0.14934141933918,0.811904788017273,0.811904788017273,1.0,12276.0,0.0,2844.0,0.0,7558,46.0292911529541,27_AD_64,27_AD_0_0_0_0_0_300_10,17,13,1,0.8961892406120547,Network 4,Max
